title,artist,gen,Feeling
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,
Trampoline (with ZAYN),SHAED,electropop,
Happier,Marshmello,brostep,
Truth Hurts,Lizzo,escape room,
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,
Higher Love,Kygo,edm,
Only Human,Jonas Brothers,pop,
Beautiful People (feat. Khalid),Ed Sheeran,pop,
Sucker,Jonas Brothers,pop,
Don't Call Me Up,Mabel,dance pop,
I Don't Care (with Justin Bieber),Ed Sheeran,pop,
Talk (feat. Disclosure),Khalid,alternative r&b,
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,
Takeaway,The Chainsmokers,electropop,
All Around The World (La La La),R3HAB,electro house,
Girls Like You (feat. Cardi B),Maroon 5,pop,
Call You Mine,The Chainsmokers,electropop,
No Guidance (feat. Drake),Chris Brown,dance pop,
Antisocial (with Travis Scott),Ed Sheeran,pop,
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,
Con Calma - Remix,Daddy Yankee,latin,
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,
Kills You Slowly,The Chainsmokers,electropop,
,Ac/Dc,,
,Metallica,,
,Ghostmane,,
,Black Sabbath,,
,Kill Dyll,,
,Ray Charles,,
,Robbie Williams,,
,Thomas Day,,
,Bruno Mars,,
,Radiohead,,
,Canserbero,,
,Dua Lipa,,
,Imagine Dragons,,
405 Anthem,Mqx,Hard Style,Pump up
,Twenty One Pilots,,
,My Chemical Romance,,
,Portugal. The Man,,
,The Voidz,,
,Gorillaz,,
,Shawn Mendes,,
,Conan Gray,,
,Sabrina Carpenter,,
,Morat,,
,Aitana,,
,Danny Ocean,,
,Dua Lipa,,
,Big Time Rush,,
,Reik,,
,Post Malone,,
,Rels B,,
,Bad Bunny,,
,WOS,,
,Eladio Carrion,,
,Nicki Nicole,,
,Mac Miller,,
,Kendrick Lamar,,
,Tupac,,
,The Notorious B.I.G.,,
,Duki,,
,Cristian Nodal,,
,Calibre 50,,
,Dillom,,
,Queen,,
,The Beatles,,
,System of a Down,,
,Feid,,
Shake it off,Taylor Swift,Dance-Pop,Joyful
When I was your man,Bruno Mars,Pop,Sad
Es �pico,Canserbero,Rap,Rage
Swing,Danny Ocean,Pop,Joyful
Live in the moment,Portugal. The Man,Electropop,Joyful
Nonsense,Sabrina Carpenter,Pop,Joyful
,Phill Collins,,
No idea,Big Time Rush,,
,Ramones,,
Shut Up and Dance,WALK TO THE MOON,,
